DateTime,PTemp_C_Max,AirTC_Avg,RH,WS_ms_Avg,TPM1,TPM2.5,TPM10,GeffRef,TempRef,FT_Voltage1,FT_Voltage2,DN_Voltage1,DN_Voltage2,Cycle,Rainfall,Daylight
2022-03-04 09:00:00,23.591833333333334,23.674500000000002,41.65916666666667,1.3872833333333332,39.05833333333333,58.0,63.358333333333334,218.79892833333332,36.369166666666665,739.035,662.625,797.985,736.605,5.0,0.0,1.0
2022-03-04 10:00:00,26.721833333333333,25.811500000000002,37.727,2.09105,28.108333333333334,41.03333333333333,44.583333333333336,298.1861558333333,42.43816666666667,971.355,918.02,1018.595,980.885,5.0,0.0,1.0
2022-03-04 11:00:00,28.573500000000003,27.66,32.422333333333334,2.1355,20.383333333333333,29.416666666666668,31.766666666666666,352.1737616666667,46.76775,1024.63,1032.735,1084.61,1069.11,5.0,0.0,1.0
2022-03-04 12:00:00,30.170333333333335,29.038999999999998,27.3595,1.9654,14.533333333333333,21.183333333333334,22.583333333333332,378.82204083333335,50.19716666666667,1053.735,1059.62,1096.415,1085.77,5.0,0.0,1.0
2022-03-04 13:00:00,31.697,30.4735,23.14333333333333,1.5779333333333334,12.1,17.058333333333334,18.25,372.795265,54.756,1031.355,1047.56,1080.635,1071.765,5.0,0.0,1.0
2022-03-04 14:00:00,32.975833333333334,31.1655,22.16783333333333,2.004566666666667,11.916666666666666,16.575,17.991666666666667,340.3999475,53.27383333333333,1028.83,1012.145,1048.91,1037.695,5.0,0.0,1.0
2022-03-04 15:00:00,33.87583333333334,31.52316666666667,21.5105,2.1331,10.933333333333334,15.45,16.483333333333334,285.135585,47.60041666666667,937.27,882.82,937.605,910.83,5.0,0.0,1.0
2022-03-04 16:00:00,34.306333333333335,31.879166666666666,21.453333333333333,1.7217166666666666,10.641666666666667,15.175,16.283333333333335,200.12987,45.74883333333333,668.71,610.09,659.675,621.795,5.0,0.0,1.0
2022-03-04 17:00:00,34.03116666666667,31.706833333333336,19.6055,1.3013000000000001,8.8,12.575,13.566666666666666,96.42290366666666,37.61558333333333,319.515,286.995,298.63,283.40500000000003,5.0,0.0,1.0
2022-03-04 18:00:00,31.884,30.407333333333334,20.410666666666668,1.0276833333333333,36.55,54.4,60.11666666666667,10.523219056666667,28.928166666666666,47.39,39.93,40.0,39.65,5.0,0.0,1.0
2022-03-04 19:00:00,29.410166666666665,28.5975,23.077,0.030683333333333306,37.03333333333333,52.291666666666664,56.2,0.026942569799999993,24.573416666666667,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 20:00:00,27.466833333333334,27.089166666666664,27.86,0.06643333333333333,54.24166666666667,77.55,84.425,0.01038083385833333,23.1545,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 21:00:00,26.003,25.445666666666668,32.0475,0.48635,52.95,75.775,81.95833333333333,0.008513149150000001,22.495333333333335,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 22:00:00,24.633,24.493,31.435333333333336,0.6295166666666667,46.8,68.16666666666667,73.78333333333333,0.010343018533333328,21.721666666666668,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 23:00:00,23.34466666666667,22.855833333333333,36.30316666666667,1.0429,49.55833333333333,70.425,76.175,0.007048966799999997,20.687,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-05 00:00:00,22.187833333333334,21.6425,39.65716666666666,1.1488,46.85,65.85,71.1,0.007328135258333331,19.815333333333335,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-05 01:00:00,20.938499999999998,20.317166666666665,42.7415,1.2978666666666667,47.15,66.21666666666667,70.95,0.008505013325,18.584833333333332,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-05 02:00:00,19.958000000000002,20.113833333333332,43.49733333333334,1.15235,50.99166666666667,72.83333333333333,78.85833333333333,0.008283887025,18.131666666666668,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-05 03:00:00,19.389,19.672,45.5375,1.3317666666666668,56.40833333333333,81.55,87.93333333333334,0.014578117025,17.733999999999998,0.0,0.0,0.0,0.0,5.0,0.0,0.0
